way_id,start,end
4592725,13.380022_52.523583,13.379612_52.523516
4592725,13.379612_52.523516,13.379600_52.523514
4592727,13.374130_52.524537,13.374421_52.524455
4592727,13.374421_52.524455,13.374742_52.524336
4592727,13.374742_52.524336,13.374892_52.524265
4592739,13.377706_52.520919,13.377928_52.520919
4592739,13.377928_52.520919,13.378216_52.520918
4592739,13.378216_52.520918,13.378449_52.520917
4592739,13.378449_52.520917,13.378737_52.520917
4592739,13.378737_52.520917,13.379762_52.520919
4592739,13.379762_52.520919,13.379803_52.520919
4592739,13.379803_52.520919,13.379918_52.520920
4592740,13.372813_52.524717,13.372789_52.524717
4592740,13.372789_52.524717,13.372746_52.524717
4592740,13.372746_52.524717,13.372746_52.524199
4592740,13.372746_52.524199,13.372746_52.524169
4592740,13.372746_52.524169,13.372746_52.524145
4592740,13.372746_52.524145,13.372742_52.523884
4592740,13.372742_52.523884,13.372740_52.523819
4592757,13.379250_52.528295,13.379238_52.528363
4592757,13.379238_52.528363,13.379208_52.528530
4592757,13.379208_52.528530,13.379205_52.528546
4592757,13.379205_52.528546,13.379187_52.528645
4592757,13.379187_52.528645,13.379175_52.528704
4592757,13.379175_52.528704,13.379089_52.529146
4597199,13.378766_52.528619,13.379054_52.528637
4597199,13.379054_52.528637,13.379187_52.528645
4597202,13.384644_52.529292,13.384661_52.529299
4597202,13.384661_52.529299,13.384750_52.529336
4597202,13.384750_52.529336,13.386153_52.529931
4597202,13.386153_52.529931,13.387281_52.530384
4597202,13.387281_52.530384,13.387389_52.530403
4597205,13.391616_52.530261,13.391525_52.530227
4597205,13.391525_52.530227,13.391425_52.530202
4597205,13.391425_52.530202,13.390728_52.530031
4597206,13.389553_52.529750,13.389609_52.529681
4597206,13.389609_52.529681,13.390800_52.528588
4597206,13.390800_52.528588,13.390939_52.528459
4597206,13.390939_52.528459,13.391028_52.528375
4597206,13.391028_52.528375,13.391304_52.528118
4597206,13.391304_52.528118,13.391366_52.528020
4597207,13.386745_52.527436,13.386743_52.527404
4597207,13.386743_52.527404,13.386724_52.527372
4597207,13.386724_52.527372,13.386629_52.527248
4597207,13.386629_52.527248,13.386573_52.527190
4597207,13.386573_52.527190,13.386566_52.527182
4597207,13.386566_52.527182,13.386559_52.527178
4597207,13.386559_52.527178,13.386497_52.527137
4597207,13.386497_52.527137,13.386428_52.527105
4597207,13.386428_52.527105,13.386325_52.527064
4597208,14.161047_46.577278,14.160688_46.580037
4597208,14.120640_46.574027,14.120734_46.573268
4597208,13.774064_49.552214,13.773885_49.553590
4597208,13.753860_49.550588,13.753907_49.550205
4597208,13.386982_52.527137,13.387080_52.527150
4597208,13.387080_52.527150,13.387125_52.527155
4597208,13.387125_52.527155,13.387228_52.527168
4597208,12.993687_55.500934,12.993647_55.501239
4597208,12.993647_55.501239,13.012700_55.503760
4597208,13.012700_55.503760,13.031843_55.506044
4597208,12.600295_58.474714,12.600213_58.475329
4597208,12.600213_58.475329,12.638276_58.480364
4597208,12.638276_58.480364,12.676458_58.484920
4597254,13.394731_52.530895,13.394630_52.530872
4597254,13.394630_52.530872,13.394218_52.530758
4597254,13.394218_52.530758,13.394114_52.530730
4597254,13.394114_52.530730,13.393897_52.530662
4597254,13.393897_52.530662,13.393849_52.530647
4597254,13.393849_52.530647,13.393657_52.530588
4597254,13.393657_52.530588,13.393492_52.530539
4597254,13.393492_52.530539,13.393454_52.530528
4597254,13.393454_52.530528,13.393342_52.530494
4597254,13.393342_52.530494,13.393143_52.530435
4597254,13.393143_52.530435,13.393035_52.530403
4597254,13.393035_52.530403,13.392842_52.530345
4597254,13.392842_52.530345,13.392741_52.530315
4597254,13.392741_52.530315,13.392687_52.530299
4597254,13.392687_52.530299,13.392041_52.530104
4597254,13.392041_52.530104,13.391999_52.530091
4597254,13.391999_52.530091,13.391892_52.530047
4597319,13.323280_51.014000,13.323436_51.013994
4597319,13.430834_54.012071,13.430990_54.012066
4597320,13.379570_52.514768,13.379607_52.514697
4597320,13.379607_52.514697,13.379637_52.514640
4597320,13.379637_52.514640,13.379761_52.514403
4597320,13.379761_52.514403,13.379910_52.514115
4597320,13.379910_52.514115,13.379942_52.514054
4597320,13.379942_52.514054,13.380063_52.513823
4597320,13.380063_52.513823,13.380118_52.513716
4597320,13.380118_52.513716,13.380145_52.513664
4597320,13.380145_52.513664,13.380186_52.513586
4597324,13.380186_52.513586,13.380230_52.513503
