id,node,lon,lat
junction_233,13.232_52.5399,13.232,52.5399
junction_234,13.2307_52.5386,13.2307,52.5386
junction_235,13.2302_52.5389,13.2302,52.5389
junction_236,13.2311_52.5425,13.2311,52.5425
junction_237,13.2317_52.5383,13.2317,52.5383
junction_238,13.2434_52.5438,13.2434,52.5438
junction_239,13.2323_52.5394,13.2323,52.5394
junction_240,13.2427_52.5281,13.2427,52.5281
junction_241,13.2427_52.5282,13.2427,52.5282
junction_242,13.229_52.5389,13.229,52.5389
junction_243,13.2319_52.5407,13.2319,52.5407
junction_244,13.2318_52.5408,13.2318,52.5408
junction_245,13.2322_52.5409,13.2322,52.5409
junction_246,13.2322_52.5407,13.2322,52.5407
junction_247,13.2242_52.5284,13.2242,52.5284
junction_248,13.2415_52.5385,13.2415,52.5385
junction_249,13.2283_52.5397,13.2283,52.5397
junction_250,13.2298_52.5397,13.2298,52.5397
junction_251,13.2266_52.5403,13.2266,52.5403
junction_252,13.2266_52.5391,13.2266,52.5391
junction_253,13.2289_52.5378,13.2289,52.5378
junction_254,13.2449_52.5396,13.2449,52.5396
junction_255,13.2181_52.5285,13.2181,52.5285
junction_256,13.2451_52.5389,13.2451,52.5389
junction_257,13.245_52.5394,13.245,52.5394
junction_258,13.245_52.5391,13.245,52.5391
junction_259,13.2444_52.5423,13.2444,52.5423
junction_260,13.2395_52.5428,13.2395,52.5428
junction_261,13.245_52.539,13.245,52.539
junction_262,13.2246_52.5449,13.2246,52.5449
junction_263,13.2451_52.5388,13.2451,52.5388
junction_264,13.2449_52.5395,13.2449,52.5395
junction_265,13.245_52.5393,13.245,52.5393
junction_266,13.2209_52.5401,13.2209,52.5401
junction_267,13.2223_52.5392,13.2223,52.5392
junction_268,13.2224_52.5393,13.2224,52.5393
junction_269,13.2339_52.5413,13.2339,52.5413
junction_270,13.2446_52.5433,13.2446,52.5433
junction_271,13.2319_52.5392,13.2319,52.5392
junction_272,13.2317_52.541,13.2317,52.541
junction_273,13.2309_52.5418,13.2309,52.5418
junction_274,13.231_52.542,13.231,52.542
junction_275,13.2312_52.5425,13.2312,52.5425
junction_276,13.2314_52.5425,13.2314,52.5425
junction_277,13.2314_52.542,13.2314,52.542
junction_278,13.2332_52.5411,13.2332,52.5411
junction_279,13.2471_52.544,13.2471,52.544
junction_280,13.2469_52.5441,13.2469,52.5441
junction_281,13.247_52.544,13.247,52.544
junction_282,13.247_52.5441,13.247,52.5441
junction_283,13.2473_52.5392,13.2473,52.5392
junction_284,13.2261_52.5436,13.2261,52.5436
junction_285,13.2473_52.5412,13.2473,52.5412
junction_286,13.2469_52.5412,13.2469,52.5412
junction_287,13.2295_52.5382,13.2295,52.5382
junction_288,13.2471_52.5384,13.2471,52.5384
junction_289,13.2175_52.5377,13.2175,52.5377
junction_290,13.2473_52.5441,13.2473,52.5441
junction_291,13.2139_52.5385,13.2139,52.5385
junction_292,13.2175_52.529,13.2175,52.529
junction_293,13.2346_52.5294,13.2346,52.5294
junction_294,13.2434_52.5429,13.2434,52.5429
junction_295,13.2435_52.5429,13.2435,52.5429
junction_296,13.2352_52.5296,13.2352,52.5296
junction_297,13.2203_52.5316,13.2203,52.5316
junction_298,13.2199_52.5371,13.2199,52.5371
junction_299,13.2355_52.5302,13.2355,52.5302
junction_300,13.2267_52.5302,13.2267,52.5302
junction_301,13.2262_52.5452,13.2262,52.5452
junction_302,13.2353_52.5296,13.2353,52.5296
junction_303,13.2248_52.5447,13.2248,52.5447
junction_304,13.232_52.5385,13.232,52.5385
