from_id,to_id,way_id,highway_type,way_name,length
13.2388_52.5415,13.2384_52.5414,125190493,residential,Faucherweg,0.000412
13.2391_52.5411,13.2392_52.541,23389981,residential,Simonring,0.000141
13.2392_52.541,13.2394_52.5408,23389981,residential,Simonring,0.000283
13.2394_52.5408,13.2395_52.5406,23389981,residential,Simonring,0.000224
13.2395_52.5406,13.2396_52.5404,23389981,residential,Simonring,0.000224
13.2396_52.5404,13.2397_52.5403,23389981,residential,Simonring,0.000141
13.2397_52.5403,13.2388_52.5401,27058055,residential,Gorgasring,0.000922
13.2166_52.5359,13.2167_52.5359,23597035,service,Sophienwerderweg,0.000100
13.2167_52.5359,13.217_52.5359,23597035,service,Sophienwerderweg,0.000300
13.217_52.5359,13.2183_52.5358,23597035,service,Sophienwerderweg,0.001304
13.2183_52.5358,13.2196_52.5357,23597035,service,Sophienwerderweg,0.001304
13.2196_52.5357,13.2209_52.5355,23597035,service,Sophienwerderweg,0.001315
13.2209_52.5355,13.2222_52.5354,23597035,service,Sophienwerderweg,0.001304
13.2222_52.5354,13.2224_52.5354,23597035,service,Sophienwerderweg,0.000200
13.2222_52.5354,13.2222_52.5353,901018872,service,,0.000100
13.2224_52.5354,13.2235_52.5352,23597035,service,Sophienwerderweg,0.001118
13.2235_52.5352,13.2242_52.5351,23597035,service,Sophienwerderweg,0.000707
13.2235_52.5352,13.223_52.5346,737508106,service,,0.000781
13.2242_52.5351,13.2255_52.535,23597035,service,Sophienwerderweg,0.001304
13.2255_52.535,13.2269_52.5348,23597035,service,Sophienwerderweg,0.001414
13.2269_52.5348,13.2279_52.5346,23597035,service,Sophienwerderweg,0.001020
13.2279_52.5346,13.2289_52.5344,23597035,service,Sophienwerderweg,0.001020
13.2289_52.5344,13.2329_52.5337,23597035,service,Sophienwerderweg,0.004061
13.2329_52.5337,13.2343_52.5334,23597035,service,Sophienwerderweg,0.001432
13.2329_52.5337,13.2328_52.5336,855885397,service,,0.000141
13.2343_52.5334,13.2347_52.5332,25308380,residential,Werkring,0.000447
13.2343_52.5334,13.2353_52.5332,25308382,service,,0.001020
13.2443_52.5441,13.2443_52.544,24033317,residential,Feldzeugmeisterstraße,0.000100
13.2443_52.5441,13.2438_52.5439,30949821,tertiary,Gartenfelder Straße,0.000539
13.2443_52.544,13.2443_52.544,24033317,residential,Feldzeugmeisterstraße,0.000000
13.2443_52.544,13.2443_52.5439,24033317,residential,Feldzeugmeisterstraße,0.000100
13.2443_52.5439,13.244_52.5436,24033317,residential,Feldzeugmeisterstraße,0.000424
13.244_52.5436,13.2439_52.5436,24033317,residential,Feldzeugmeisterstraße,0.000100
